strategy_id,strategy_label,seed,q_min,lambda,resilience
distance_driven,Nearest-Neighbor Reconfiguration,17,0.7,0.05,0.0
distance_driven,Nearest-Neighbor Reconfiguration,23,0.7,0.05,0.0
distance_driven,Nearest-Neighbor Reconfiguration,29,0.7,0.05,0.08216279176780782
distance_driven,Nearest-Neighbor Reconfiguration,35,0.7,0.05,0.029493461361750625
distance_driven,Nearest-Neighbor Reconfiguration,11,0.7,0.07,0.0
distance_driven,Nearest-Neighbor Reconfiguration,17,0.7,0.07,0.0
distance_driven,Nearest-Neighbor Reconfiguration,23,0.7,0.07,0.0
distance_driven,Nearest-Neighbor Reconfiguration,29,0.7,0.07,0.07372919878242856
distance_driven,Nearest-Neighbor Reconfiguration,35,0.7,0.07,0.025671481861313055
distance_driven,Nearest-Neighbor Reconfiguration,11,0.7,0.1,0.0
distance_driven,Nearest-Neighbor Reconfiguration,17,0.7,0.1,0.0
distance_driven,Nearest-Neighbor Reconfiguration,23,0.7,0.1,0.0
distance_driven,Nearest-Neighbor Reconfiguration,29,0.7,0.1,0.062427788414846426
distance_driven,Nearest-Neighbor Reconfiguration,35,0.7,0.1,0.020972289411174183
degree_driven,Maximum-Degree Reconfiguration,11,0.3,0.01,0.46641390595805077
degree_driven,Maximum-Degree Reconfiguration,17,0.3,0.01,0.5722110417476939
degree_driven,Maximum-Degree Reconfiguration,23,0.3,0.01,0.6251844122501803
degree_driven,Maximum-Degree Reconfiguration,29,0.3,0.01,0.5575068648758423
degree_driven,Maximum-Degree Reconfiguration,35,0.3,0.01,0.6541325323965143
degree_driven,Maximum-Degree Reconfiguration,11,0.3,0.03,0.4528053128042549
degree_driven,Maximum-Degree Reconfiguration,17,0.3,0.03,0.5665574980434253
degree_driven,Maximum-Degree Reconfiguration,23,0.3,0.03,0.6192935767276373
degree_driven,Maximum-Degree Reconfiguration,29,0.3,0.03,0.5472222598868054
degree_driven,Maximum-Degree Reconfiguration,35,0.3,0.03,0.6400364492612276
degree_driven,Maximum-Degree Reconfiguration,11,0.3,0.05,0.4463421669662191
degree_driven,Maximum-Degree Reconfiguration,17,0.3,0.05,0.5592252454542544
degree_driven,Maximum-Degree Reconfiguration,23,0.3,0.05,0.6087900767324579
degree_driven,Maximum-Degree Reconfiguration,29,0.3,0.05,0.5367490444802373
degree_driven,Maximum-Degree Reconfiguration,35,0.3,0.05,0.6272483978854153
degree_driven,Maximum-Degree Reconfiguration,11,0.3,0.07,0.44423870045670844
degree_driven,Maximum-Degree Reconfiguration,17,0.3,0.07,0.5512027110509753
degree_driven,Maximum-Degree Reconfiguration,23,0.3,0.07,0.5961630746908522
degree_driven,Maximum-Degree Reconfiguration,29,0.3,0.07,0.5274383332608684
degree_driven,Maximum-Degree Reconfiguration,35,0.3,0.07,0.6165905158883384
degree_driven,Maximum-Degree Reconfiguration,11,0.3,0.1,0.4437944933201748
degree_driven,Maximum-Degree Reconfiguration,17,0.3,0.1,0.5394735882800442
degree_driven,Maximum-Degree Reconfiguration,23,0.3,0.1,0.5776188723460015
degree_driven,Maximum-Degree Reconfiguration,29,0.3,0.1,0.5161293641192273
degree_driven,Maximum-Degree Reconfiguration,35,0.3,0.1,0.604234387832262
degree_driven,Maximum-Degree Reconfiguration,11,0.4,0.01,0.3774828902843922
degree_driven,Maximum-Degree Reconfiguration,17,0.4,0.01,0.5009128820389759
degree_driven,Maximum-Degree Reconfiguration,23,0.4,0.01,0.5627151476252099
degree_driven,Maximum-Degree Reconfiguration,29,0.4,0.01,0.48375800902181587
degree_driven,Maximum-Degree Reconfiguration,35,0.4,0.01,0.5964879544625997
degree_driven,Maximum-Degree Reconfiguration,11,0.4,0.03,0.36160619827163076
degree_driven,Maximum-Degree Reconfiguration,17,0.4,0.03,0.49431708105066313
degree_driven,Maximum-Degree Reconfiguration,23,0.4,0.03,0.5558425061822438
degree_driven,Maximum-Degree Reconfiguration,29,0.4,0.03,0.4717593032012729
degree_driven,Maximum-Degree Reconfiguration,35,0.4,0.03,0.5800425241380992
degree_driven,Maximum-Degree Reconfiguration,11,0.4,0.05,0.35406586146058894
degree_driven,Maximum-Degree Reconfiguration,17,0.4,0.05,0.48576278636329656
degree_driven,Maximum-Degree Reconfiguration,23,0.4,0.05,0.5435884228545343
degree_driven,Maximum-Degree Reconfiguration,29,0.4,0.05,0.4595405518936106
degree_driven,Maximum-Degree Reconfiguration,35,0.4,0.05,0.5651231308663175
degree_driven,Maximum-Degree Reconfiguration,11,0.4,0.07,0.3516118171994934
degree_driven,Maximum-Degree Reconfiguration,17,0.4,0.07,0.4764031628928048
degree_driven,Maximum-Degree Reconfiguration,23,0.4,0.07,0.5288569204726611
degree_driven,Maximum-Degree Reconfiguration,29,0.4,0.07,0.4486780554710128
degree_driven,Maximum-Degree Reconfiguration,35,0.4,0.07,0.5526889352030622
degree_driven,Maximum-Degree Reconfiguration,11,0.4,0.1,0.3510935755402034
degree_driven,Maximum-Degree Reconfiguration,17,0.4,0.1,0.46271918632671816
degree_driven,Maximum-Degree Reconfiguration,23,0.4,0.1,0.5072220177370015
degree_driven,Maximum-Degree Reconfiguration,29,0.4,0.1,0.43548425813909786
degree_driven,Maximum-Degree Reconfiguration,35,0.4,0.1,0.5382734524709721
degree_driven,Maximum-Degree Reconfiguration,11,0.5,0.01,0.2529794683412707
degree_driven,Maximum-Degree Reconfiguration,17,0.5,0.01,0.40109545844677075
degree_driven,Maximum-Degree Reconfiguration,23,0.5,0.01,0.47525817715025204
degree_driven,Maximum-Degree Reconfiguration,29,0.5,0.01,0.38050961082617923
degree_driven,Maximum-Degree Reconfiguration,35,0.5,0.01,0.5157855453551196
degree_driven,Maximum-Degree Reconfiguration,11,0.5,0.03,0.23392743792595672
degree_driven,Maximum-Degree Reconfiguration,17,0.5,0.03,0.39318049726079535
degree_driven,Maximum-Degree Reconfiguration,23,0.5,0.03,0.4670110074186919
degree_driven,Maximum-Degree Reconfiguration,29,0.5,0.03,0.36611116384152737
degree_driven,Maximum-Degree Reconfiguration,35,0.5,0.03,0.4960510289657188
degree_driven,Maximum-Degree Reconfiguration,11,0.5,0.05,0.2248790337527066
degree_driven,Maximum-Degree Reconfiguration,17,0.5,0.05,0.38291534363595614
degree_driven,Maximum-Degree Reconfiguration,23,0.5,0.05,0.45230610742544114
