eta,tau_mis,time,num_runs,Q_comm_mean,Q_comm_std,Q_mis_mean,Q_mis_std,mean_pair_distance_mean,mean_pair_distance_std,valid_path_count_mean,valid_path_count_std,physical_complete_mean,physical_complete_std
0.2,0.05,74,5,0.42553864343886005,0.005442730735437999,1.0,0.0,12.987911382985562,0.08445241525146549,1000.0,0.0,0.0,0.0
0.2,0.05,75,5,0.4151645296048897,0.0055381979241989135,1.0,0.0,13.203934222722438,0.08568119409422299,1000.0,0.0,0.0,0.0
0.2,0.05,76,5,0.4055922480236728,0.005663927115953718,1.0,0.0,13.419963105532023,0.08691178719475236,1000.0,0.0,0.0,0.0
0.2,0.05,77,5,0.3967189590461918,0.005736588168208543,1.0,0.0,13.635997774910114,0.08814411944491078,1000.0,0.0,0.0,0.0
0.2,0.05,78,5,0.3884340401599874,0.005804706560296167,1.0,0.0,13.852037988942783,0.0893781197152003,1000.0,0.0,0.0,0.0
0.2,0.05,79,5,0.3806375957893413,0.005892364688644251,1.0,0.0,14.068083519270846,0.09061372060156254,1000.0,0.0,0.0,0.0
0.2,0.05,80,5,0.37325688301117743,0.005966445605565027,1.0,0.0,14.284134150142037,0.09185085819074228,1000.0,0.0,0.0,0.0
0.2,0.05,81,5,0.36623534555365395,0.006015934890361386,1.0,0.0,14.50018967754237,0.09308947184270194,1000.0,0.0,0.0,0.0
0.2,0.05,82,5,0.35954456974676335,0.006043784789059095,1.0,0.0,14.716249908398947,0.0943295039887025,1000.0,0.0,0.0,0.0
0.2,0.05,83,5,0.3531458553672365,0.006098987153818834,1.0,0.0,14.932314659847474,0.09557089994377778,1000.0,0.0,0.0,0.0
0.2,0.05,84,5,0.3469816933494207,0.006182802275185912,1.0,0.0,15.14838375855832,0.09681360773246636,1000.0,0.0,0.0,0.0
0.2,0.05,85,5,0.3410448160799718,0.006248172427577705,1.0,0.0,15.364457040115749,0.0980575779267356,1000.0,0.0,0.0,0.0
0.2,0.05,86,5,0.3353398828618225,0.006324576682089453,1.0,0.0,15.580534348445472,0.09930276349514294,1000.0,0.0,0.0,0.0
0.2,0.05,87,5,0.32984290841034986,0.006405378978453696,1.0,0.0,15.796615535286085,0.10054911966236409,1000.0,0.0,0.0,0.0
0.2,0.05,88,5,0.32453831013216417,0.006458864512227797,1.0,0.0,16.012700459700586,0.10179660377827007,1000.0,0.0,0.0,0.0
0.2,0.05,89,5,0.31941040091007344,0.006526243773417702,1.0,0.0,16.22878898762435,0.10304517519584391,1000.0,0.0,0.0,0.0
0.2,0.05,90,5,0.31446050352634813,0.006617984385016523,1.0,0.0,16.444880991446507,0.10429479515723857,1000.0,0.0,0.0,0.0
0.2,0.05,91,5,0.3096852080587609,0.006733967144665302,1.0,0.0,16.660976349621755,0.10554542668738551,1000.0,0.0,0.0,0.0
0.2,0.05,92,5,0.3050681696672287,0.00685336981794287,0.9994,0.0012000000000000012,16.87707494631013,0.10679703449457208,999.4,1.2,0.0,0.0
0.2,0.05,93,5,0.3006068714541733,0.006975592521358338,0.9992000000000001,0.001166190378969061,17.09317667104235,0.1080495848774752,999.2,1.1661903789690602,0.0,0.0
0.2,0.05,94,5,0.296291688924015,0.007088192169172128,0.9975999999999999,0.0030066592756745844,17.309281418408595,0.10930304563818216,997.6,3.006659275674582,0.0,0.0
0.2,0.05,95,5,0.2920931500275727,0.0071984930701730196,0.9968,0.004534313619501858,17.525389087768946,0.11055738600076913,996.8,4.534313619501853,0.0,0.0
0.2,0.05,96,5,0.28801753030975646,0.007313509646725176,0.9932000000000001,0.0075736384915046015,17.741499582983522,0.11181257653499978,993.2,7.573638491504595,0.0,0.0
0.2,0.05,97,5,0.284065505717496,0.007427885658822549,0.991,0.010237187113655791,17.95761281216101,0.1130685890848288,991.0,10.237187113655782,0.0,0.0
0.2,0.05,98,5,0.2802251261046352,0.007540929294849846,0.9884000000000001,0.010781465577554853,18.173728687423914,0.11432539670132456,988.4,10.781465577554842,0.0,0.0
0.2,0.05,99,5,0.2764947095896282,0.00766650939033719,0.9874,0.012126005112979305,18.389847124689364,0.11558297357972726,987.4,12.126005112979295,0.0,0.0
0.2,0.05,100,5,0.27286738848951514,0.007772060108470143,0.9872,0.01230284519938377,18.605968043464237,0.11684129500034121,987.2,12.302845199383759,0.0,0.0
0.2,0.15,0,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,1,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,2,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,3,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,4,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,5,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,6,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,7,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,8,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,9,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,10,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,11,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,12,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,13,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,14,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,15,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,16,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,17,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,18,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,19,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,20,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.15,21,5,1.0,0.0,1.0,0.0,1.5883291287025005,0.028310380355146523,1000.0,0.0,1.0,0.0
0.2,0.15,22,5,1.0,0.0,1.0,0.0,1.7982019176404311,0.02893750418334882,1000.0,0.0,1.0,0.0
0.2,0.15,23,5,1.0,0.0,1.0,0.0,2.009185841293738,0.02959274478214269,1000.0,0.0,1.0,0.0
0.2,0.15,24,5,0.9998675995916744,7.574151596549311e-05,1.0,0.0,2.2209954008462183,0.030279470913957576,1000.0,0.0,1.0,0.0
0.2,0.15,25,5,0.9989557161617004,0.0002952825501796539,1.0,0.0,2.433439001342893,0.030998475076985218,1000.0,0.0,1.0,0.0
0.2,0.15,26,5,0.9966241060523021,0.0005580241663960931,1.0,0.0,2.6463821434462007,0.031749276572546704,1000.0,0.0,1.0,0.0
0.2,0.15,27,5,0.9925196799324748,0.0008177016780300452,1.0,0.0,2.8597270885644184,0.03253074442671014,1000.0,0.0,1.0,0.0
0.2,0.15,28,5,0.9865762372791954,0.0009395548539964857,1.0,0.0,3.073400814454631,0.03334142245379088,1000.0,0.0,1.0,0.0
0.2,0.15,29,5,0.9791405248307594,0.0009650479819197159,1.0,0.0,3.287347500863221,0.034179708542855985,1000.0,0.0,1.0,0.0
0.2,0.15,30,5,0.9706059641686231,0.0009731005870259711,1.0,0.0,3.5015236447242963,0.03504395721400877,1000.0,0.0,1.0,0.0
0.2,0.15,31,5,0.9612962256816434,0.0009813507463524314,1.0,0.0,3.715894775923432,0.035932539448495816,1000.0,0.0,1.0,0.0
0.2,0.15,32,5,0.9513755115472025,0.0010190804507804174,1.0,0.0,3.930433185792662,0.036843877613649635,1000.0,0.0,1.0,0.0
0.2,0.15,33,5,0.9409905978052857,0.0010742668533120596,1.0,0.0,4.145116317556786,0.03777646532784248,1000.0,0.0,1.0,0.0
0.2,0.15,34,5,0.9302183763866335,0.0011279690780866703,1.0,0.0,4.359925601631769,0.03872887796266958,1000.0,0.0,1.0,0.0
0.2,0.15,35,5,0.9191477097368903,0.001191091077058675,1.0,0.0,4.574845597160841,0.03969977721672364,1000.0,0.0,1.0,0.0
0.2,0.15,36,5,0.9078201918566503,0.0012512226295543184,1.0,0.0,4.789863348863579,0.04068791190527588,1000.0,0.0,1.0,0.0
0.2,0.15,37,5,0.8962731030900102,0.0013029279480605443,1.0,0.0,5.004967898126438,0.041692116344082666,1000.0,0.0,1.0,0.0
0.2,0.15,38,5,0.8845556895634082,0.001363722110392425,1.0,0.0,5.220149906445344,0.04271130723331162,1000.0,0.0,1.0,0.0
0.2,0.15,39,5,0.8726847517032688,0.0014512159659567287,1.0,0.0,5.435401361945002,0.043744479646681045,1000.0,0.0,1.0,0.0
0.2,0.15,40,5,0.8606805403214339,0.0015361899591387097,1.0,0.0,5.650715348167667,0.04479070253364398,1000.0,0.0,1.0,0.0
0.2,0.15,41,5,0.8485598276431892,0.0016197779235705072,1.0,0.0,5.866085860115607,0.045849114010123114,1000.0,0.0,1.0,0.0
0.2,0.15,42,5,0.8363326971668961,0.00170827583760947,1.0,0.0,6.081507656559732,0.046918916622885755,1000.0,0.0,1.0,0.0
0.2,0.15,43,5,0.8240093599970348,0.0018041120387447913,1.0,0.0,6.296976140471811,0.047999372710055686,1000.0,0.0,1.0,0.0
0.2,0.15,44,5,0.8115980562263856,0.0019034465919876159,1.0,0.0,6.512487261475407,0.049089799936611916,1000.0,0.0,1.0,0.0
0.2,0.15,45,5,0.7991132917745146,0.002009321677778187,1.0,0.0,6.728037435688984,0.0501895670531213,1000.0,0.0,1.0,0.0
0.2,0.15,46,5,0.7865681323492946,0.0021168361738935115,1.0,0.0,6.943623479420036,0.051298089904537394,1000.0,0.0,1.0,0.0
0.2,0.15,47,5,0.7739688178359907,0.002227268362475572,1.0,0.0,7.159242553974684,0.05241482770101906,1000.0,0.0,1.0,0.0
0.2,0.15,48,5,0.7613181486618112,0.002338656611396467,1.0,0.0,7.374892119451369,0.053539279552463716,1000.0,0.0,1.0,0.0
0.2,0.15,49,5,0.7486164603063334,0.0024431711361987836,1.0,0.0,7.590569895844529,0.05467098126154264,1000.0,0.0,1.0,0.0
0.2,0.15,50,5,0.7358681585445179,0.002546796645251601,1.0,0.0,7.806273830133601,0.05580950236550213,1000.0,0.0,1.0,0.0
0.2,0.15,51,5,0.7230737505660997,0.002650892712483496,1.0,0.0,8.022002068301532,0.056954443414196705,1000.0,0.0,1.0,0.0
0.2,0.15,52,5,0.7102372100175571,0.002761954060526664,1.0,0.0,8.237752931435924,0.05810543347021607,1000.0,0.0,1.0,0.0
0.2,0.15,53,5,0.6973684267588487,0.002874724411257427,1.0,0.0,8.453524895229135,0.05926212781624999,1000.0,0.0,1.0,0.0
0.2,0.15,54,5,0.6844661938512637,0.0029928136485790234,1.0,0.0,8.66931657232215,0.06042420585471374,1000.0,0.0,1.0,0.0
0.2,0.15,55,5,0.6715331694983473,0.0031152676280594795,1.0,0.0,8.885126697038984,0.0615913691849017,1000.0,0.0,1.0,0.0
0.2,0.15,56,5,0.6585719041927033,0.003240669892379312,1.0,0.0,9.100954112139439,0.06276333984352303,1000.0,0.0,1.0,0.0
0.2,0.15,57,5,0.6455867431631686,0.0033692019712717874,1.0,0.0,9.316797757283329,0.06393985869515978,1000.0,0.0,1.0,0.0
0.2,0.15,58,5,0.6325764220284777,0.0035049509967557107,1.0,0.0,9.532656658951685,0.06512068396000388,1000.0,0.0,1.0,0.0
0.2,0.15,59,5,0.6195419594880973,0.0036398132686948997,1.0,0.0,9.748529921613038,0.06630558986710726,1000.0,0.0,1.0,0.0
0.2,0.15,60,5,0.6064842882790107,0.0037764866302323515,1.0,0.0,9.964416719957685,0.06749436542220368,1000.0,0.0,1.0,0.0
0.2,0.15,61,5,0.5934069056908486,0.003915514060881236,1.0,0.0,10.180316292051083,0.06868681328006612,1000.0,0.0,1.0,0.0
0.2,0.15,62,5,0.580311554620162,0.0040556925244292314,1.0,0.0,10.396227933281018,0.06988274871213114,1000.0,0.0,1.0,0.0
0.2,0.15,63,5,0.5671982832136215,0.00419549633906918,1.0,0.0,10.612150990992376,0.07108199866094939,1000.0,0.0,1.0,0.0
0.2,0.15,64,5,0.5540648251668578,0.00433263511641845,1.0,0.0,10.828084859719423,0.07228440087370218,1000.0,0.0,1.0,0.0
0.2,0.15,65,5,0.5409155252990188,0.004467938039815852,1.0,0.0,11.044028976938817,0.07348980310776788,1000.0,0.0,1.0,0.0
0.2,0.15,66,5,0.5277489068575603,0.004603157993325988,1.0,0.0,11.259982819277646,0.07469806240188778,1000.0,0.0,1.0,0.0
0.2,0.15,67,5,0.5145673572558787,0.004737491495794596,1.0,0.0,11.475945899120262,0.07590904440711563,1000.0,0.0,1.0,0.0
0.2,0.15,68,5,0.5013780894360618,0.004872064703207569,0.9992000000000001,0.001166190378969061,11.691917761565387,0.07712262277222862,999.2,1.1661903789690602,1.0,0.0
0.2,0.15,69,5,0.4881789894376711,0.005006353944096719,0.9970000000000001,0.003346640106136305,11.907897981691775,0.07833867857880542,997.0,3.3466401061363023,1.0,0.0
0.2,0.15,70,5,0.47496745494201675,0.005139033616934716,0.9914,0.0065604877867426956,12.123886162096245,0.07955709982156375,991.4,6.560487786742689,1.0,0.0
0.2,0.15,71,5,0.46179514275557026,0.005248754277297927,0.9832000000000001,0.009108238029388569,12.339881930672687,0.0807777809300227,983.2,9.108238029388561,0.0,0.0
0.2,0.15,72,5,0.44898009170710723,0.005308115437825891,0.9705999999999999,0.010594338110519233,12.55588493860483,0.08200062232786179,970.6,10.594338110519221,0.0,0.0
0.2,0.15,73,5,0.4368290099081461,0.0053645064597837135,0.9526,0.009687104830649877,12.771894858548924,0.08322553002672065,952.6,9.687104830649869,0.0,0.0
0.2,0.15,74,5,0.42553864343886005,0.005442730735437999,0.932,0.016721243972862763,12.987911382985562,0.08445241525146549,932.0,16.721243972862784,0.0,0.0
0.2,0.15,75,5,0.4151645296048897,0.0055381979241989135,0.9123999999999999,0.010836973747315262,13.203934222722438,0.08568119409422299,912.4,10.836973747315252,0.0,0.0
0.2,0.15,76,5,0.4055922480236728,0.005663927115953718,0.8878,0.015929846201391915,13.419963105532023,0.08691178719475236,887.8,15.9298462013919,0.0,0.0
0.2,0.15,77,5,0.3967189590461918,0.005736588168208543,0.8756,0.015742934923323553,13.635997774910114,0.08814411944491078,875.6,15.742934923323542,0.0,0.0
0.2,0.15,78,5,0.3884340401599874,0.005804706560296167,0.8576,0.022419634252146062,13.852037988942783,0.0893781197152003,857.6,22.419634252146043,0.0,0.0
0.2,0.15,79,5,0.3806375957893413,0.005892364688644251,0.8373999999999999,0.019293522228976207,14.068083519270846,0.09061372060156254,837.4,19.293522228976233,0.0,0.0
0.2,0.15,80,5,0.37325688301117743,0.005966445605565027,0.8224,0.019642810389554725,14.284134150142037,0.09185085819074228,822.4,19.64281038955475,0.0,0.0
0.2,0.15,81,5,0.36623534555365395,0.006015934890361386,0.8074,0.01724644890984806,14.50018967754237,0.09308947184270194,807.4,17.24644890984808,0.0,0.0
0.2,0.15,82,5,0.35954456974676335,0.006043784789059095,0.795,0.0157098695093244,14.716249908398947,0.0943295039887025,795.0,15.709869509324385,0.0,0.0
0.2,0.15,83,5,0.3531458553672365,0.006098987153818834,0.7684,0.01621850794617065,14.932314659847474,0.09557089994377778,768.4,16.218507946170636,0.0,0.0
0.2,0.15,84,5,0.3469816933494207,0.006182802275185912,0.7554000000000001,0.011976643937263906,15.14838375855832,0.09681360773246636,755.4,11.976643937263894,0.0,0.0
0.2,0.15,85,5,0.3410448160799718,0.006248172427577705,0.744,0.010825894882179497,15.364457040115749,0.0980575779267356,744.0,10.825894882179487,0.0,0.0
0.2,0.15,86,5,0.3353398828618225,0.006324576682089453,0.7312000000000001,0.008908422980528043,15.580534348445472,0.09930276349514294,731.2,8.908422980528035,0.0,0.0
0.2,0.15,87,5,0.32984290841034986,0.006405378978453696,0.7208,0.004166533331199936,15.796615535286085,0.10054911966236409,720.8,4.166533331199932,0.0,0.0
0.2,0.15,88,5,0.32453831013216417,0.006458864512227797,0.7130000000000001,0.006480740698407867,16.012700459700586,0.10179660377827007,713.0,6.48074069840786,0.0,0.0
0.2,0.15,89,5,0.31941040091007344,0.006526243773417702,0.6961999999999999,0.005844655678480988,16.22878898762435,0.10304517519584391,696.2,5.844655678480984,0.0,0.0
0.2,0.15,90,5,0.31446050352634813,0.006617984385016523,0.6858000000000001,0.009967948635501656,16.444880991446507,0.10429479515723857,685.8,9.96794863550169,0.0,0.0
0.2,0.15,91,5,0.3096852080587609,0.006733967144665302,0.6748000000000001,0.010979981785048653,16.660976349621755,0.10554542668738551,674.8,10.979981785048643,0.0,0.0
0.2,0.15,92,5,0.3050681696672287,0.00685336981794287,0.6626000000000001,0.016316862443496928,16.87707494631013,0.10679703449457208,662.6,16.316862443496913,0.0,0.0
0.2,0.15,93,5,0.3006068714541733,0.006975592521358338,0.6508,0.019691622584236186,17.09317667104235,0.1080495848774752,650.8,19.691622584236168,0.0,0.0
0.2,0.15,94,5,0.296291688924015,0.007088192169172128,0.6434,0.023686282950264717,17.309281418408595,0.10930304563818216,643.4,23.686282950264694,0.0,0.0
0.2,0.15,95,5,0.2920931500275727,0.0071984930701730196,0.635,0.019989997498749235,17.525389087768946,0.11055738600076913,635.0,19.98999749874922,0.0,0.0
0.2,0.15,96,5,0.28801753030975646,0.007313509646725176,0.6244,0.0203627110179367,17.741499582983522,0.11181257653499978,624.4,20.362711017936682,0.0,0.0
0.2,0.15,97,5,0.284065505717496,0.007427885658822549,0.6172000000000001,0.022373198251479397,17.95761281216101,0.1130685890848288,617.2,22.37319825147938,0.0,0.0
0.2,0.15,98,5,0.2802251261046352,0.007540929294849846,0.6097999999999999,0.016017490440140756,18.173728687423914,0.11432539670132456,609.8,16.01749044014074,0.0,0.0
0.2,0.15,99,5,0.2764947095896282,0.00766650939033719,0.6012,0.01581644713581405,18.389847124689364,0.11558297357972726,601.2,15.816447135814036,0.0,0.0
0.2,0.15,100,5,0.27286738848951514,0.007772060108470143,0.5926,0.01620617166390633,18.605968043464237,0.11684129500034121,592.6,16.206171663906318,0.0,0.0
0.2,0.25,0,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,1,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,2,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,3,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,4,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,5,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,6,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,7,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,8,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,9,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,10,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,11,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,12,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,13,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,14,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,15,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,16,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,17,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,18,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,19,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,20,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.25,21,5,1.0,0.0,1.0,0.0,1.5883291287025005,0.028310380355146523,1000.0,0.0,1.0,0.0
0.2,0.25,22,5,1.0,0.0,1.0,0.0,1.7982019176404311,0.02893750418334882,1000.0,0.0,1.0,0.0
0.2,0.25,23,5,1.0,0.0,1.0,0.0,2.009185841293738,0.02959274478214269,1000.0,0.0,1.0,0.0
0.2,0.25,24,5,0.9998675995916744,7.574151596549311e-05,1.0,0.0,2.2209954008462183,0.030279470913957576,1000.0,0.0,1.0,0.0
