strategy_id,strategy_label,seed,time,Q_phy,Q_comm,Q_mis,Q_overall,alive_nodes
distance_driven,Nearest-Neighbor Reconfiguration,11,70,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,71,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,72,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,73,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,74,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,75,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,76,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,77,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,78,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,79,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,80,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,81,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,82,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,83,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,84,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,85,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,86,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,87,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,88,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,89,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,90,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,91,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,92,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,93,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,94,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,95,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,96,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,97,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,98,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,99,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,100,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
