strategy_id,strategy_label,time,num_runs,Q_phy_mean,Q_phy_std,Q_comm_mean,Q_comm_std,Q_mis_mean,Q_mis_std,Q_overall_mean,Q_overall_std,alive_nodes_mean,alive_nodes_std
degree_driven,Maximum-Degree Reconfiguration,65,5,0.9508235669628912,0.06030621346054056,0.7197031489498011,0.04459809770741475,0.6613289760348584,0.056142400115337075,0.7032245974391259,0.038710892902630085,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,66,5,0.95223782978769,0.05858473599866207,0.7228340376449076,0.04356342367835986,0.6613289760348584,0.056142400115337075,0.7048779075772543,0.03797889127004369,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,67,5,0.9530296780285388,0.057699807846930504,0.7244668597112527,0.043490739041366876,0.6613289760348584,0.056142400115337075,0.7058667235512557,0.037486186176524654,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,68,5,0.9446442329866802,0.06861288290859933,0.7258047132428287,0.04333711143478848,0.6724400871459695,0.05029755160386416,0.7116718635436206,0.039278312990390515,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,69,5,0.9448666949644862,0.06816994890126028,0.7267669440188584,0.041785684865871184,0.6724400871459695,0.05029755160386416,0.7122362844753353,0.03862007952580941,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,70,5,0.9456853246632919,0.06700701886350333,0.7278478365304287,0.04074296212275026,0.6724400871459695,0.05029755160386416,0.7128931890123817,0.03849721598906932,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,71,5,0.9591839612168378,0.056089601468366196,0.7286802973121336,0.04002061060851382,0.6687363834422658,0.05125894516537731,0.7123234008811814,0.03744860269171084,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,72,5,0.9607387617384175,0.0532940579766142,0.7310031683198954,0.038832118455267205,0.6687363834422658,0.05125894516537731,0.7137225420632303,0.036470567898629416,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,73,5,0.9616547522988845,0.052060500138791384,0.7314195692630969,0.03932020735549615,0.6687363834422658,0.05125894516537731,0.7140176852251513,0.03657915107602159,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,74,5,0.961546751532633,0.052106634737546724,0.7328867067963643,0.03811856658915827,0.6724400871459695,0.04602522203747115,0.7166583856710806,0.03316320020030726,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,75,5,0.9621581977631086,0.050425291066844714,0.7331831394288633,0.037647271842814745,0.6576252723311546,0.060958979413032736,0.709485927568186,0.03342374765416705,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,76,5,0.962636859011741,0.04986270187281095,0.7342129047285597,0.037365515382328435,0.6576252723311546,0.060958979413032736,0.7100445182827506,0.033320437482267797,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,77,5,0.9748411801195858,0.030927903000484168,0.7344302464160608,0.038045065860836995,0.6576252723311546,0.060958979413032736,0.7109319441297249,0.03316568157938422,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,78,5,0.9649102849107247,0.046298971629603544,0.7341717542462902,0.03870485315258113,0.657843137254902,0.06656334996223236,0.710511937117662,0.03534474533140083,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,79,5,0.9646435573259456,0.04597810104159411,0.7346614049994904,0.03918476110525995,0.653921568627451,0.06415150970903614,0.7088700654333223,0.03554301552498303,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,80,5,0.9659961693309793,0.04528193573386445,0.7344941950477819,0.038977929263625886,0.6689542483660131,0.05409064401621066,0.7164777856291437,0.03162975000070702,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,81,5,0.9653389156369515,0.04502787183331967,0.7352552797834504,0.03887789367100321,0.6689542483660131,0.05409064401621066,0.7168231329771679,0.031193653704536667,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,82,5,0.965645305593187,0.044839405952573554,0.7351859652818057,0.03929727018388266,0.6689542483660131,0.05409064401621066,0.7168582943463894,0.031171588225061657,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,83,5,0.9658586549271636,0.04449372186832001,0.735562080619638,0.03987754730148508,0.6689542483660131,0.05409064401621066,0.7171166219866654,0.031159202664726465,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,84,5,0.9663027403254351,0.04366188115970844,0.735973601914528,0.04040213411619,0.6689542483660131,0.05409064401621066,0.7173696553789928,0.031273098927001794,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,85,5,0.9677687369382835,0.04281149451729544,0.7371371251308514,0.04142381126262473,0.653921568627451,0.06625529881032252,0.7104957531915375,0.033617052291588526,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,86,5,0.9721406959997122,0.03950617805744226,0.7385822942307183,0.042885943318988255,0.657843137254902,0.0685932065199695,0.7133860879915821,0.0329266263925247,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,87,5,0.9727572038366222,0.039025982188175844,0.7398775826868746,0.04162712023435803,0.6504357298474945,0.07675403217047534,0.7103174774490338,0.03628377349119212,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,88,5,0.974494942951323,0.03818808023016763,0.7398897658489708,0.04132190168658449,0.6541394335511983,0.07428043790632922,0.7123088169365847,0.03386685589970205,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,89,5,0.9744030399860986,0.03755226319206393,0.7409014273198608,0.04243268187890214,0.6652505446623094,0.07930821883116138,0.7183548668543688,0.03652217035539756,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,90,5,0.9748394272289328,0.03715171313132115,0.7411497686216817,0.04375088834324589,0.653921568627451,0.08996370559369389,0.7129064414630003,0.040614311475099814,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,91,5,0.9756961253882439,0.0362432718543656,0.7411817035783083,0.04502847691573423,0.653921568627451,0.08996370559369389,0.7130784414336377,0.04071932257923073,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,92,5,0.9771832560775386,0.035674438664982364,0.7414824043766424,0.046025586367255074,0.6639215686274509,0.10205408836298432,0.7183948524449515,0.048578443681324426,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,93,5,0.9795308622660841,0.03554865405431769,0.7412702795081471,0.04520835771970907,0.675032679738562,0.08524178897136762,0.7240526917332071,0.043766046791678156,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,94,5,0.9808626898036685,0.034840970089196725,0.7427076992703572,0.04468289540447667,0.6863616557734205,0.08142630919025572,0.7305308013784721,0.038635584243474914,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,95,5,0.982960638192463,0.03317399760734328,0.7436474714902304,0.044314102981922135,0.6863616557734205,0.08142630919025572,0.7310718436472425,0.03821347190095122,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,96,5,0.9825956875789632,0.033014262533996655,0.7444510208199719,0.04347996104130998,0.6824400871459695,0.08086195102239538,0.7295285437217662,0.03925078130039411,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,97,5,0.9833255392645022,0.03334892147099557,0.7447019739423115,0.042728805863463365,0.6898474945533769,0.06984527917310535,0.7334230955896907,0.03690273073273852,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,98,5,0.9833255392645022,0.03334892147099557,0.7448185761449164,0.042829220735843124,0.6824400871459695,0.08086195102239538,0.7298217628508424,0.039423223345834854,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,99,5,0.9833255392645022,0.03334892147099557,0.7450278011517187,0.04169021366243954,0.6898474945533769,0.06984527917310535,0.7337529518389263,0.03682070641400702,70.0,0.0
degree_driven,Maximum-Degree Reconfiguration,100,5,0.9831747763748975,0.033650447250204746,0.7452612269732566,0.04137401866778987,0.6937690631808279,0.07008462324196803,0.7358503325192357,0.03577990289565022,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,0,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,1,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,2,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,3,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,4,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,5,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,6,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,7,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,8,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,9,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,10,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,11,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,12,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,13,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,14,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,15,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,16,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0,100.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,17,5,0.8765533818473962,0.011515986017210293,0.8968160604123389,0.030484112224052,0.9449019607843138,0.03525148720500268,0.9198458766700792,0.023461356334762453,92.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,18,5,0.7663983287298252,0.005860978751784338,0.775267400620724,0.04235369303905821,0.8669281045751633,0.04741982087895199,0.8206542990033988,0.0344715093474696,84.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,19,5,0.6842911425045466,0.008416579797673907,0.6766170898706119,0.04042284551573075,0.7333986928104576,0.06173492382920189,0.7053915939722314,0.03970156885364763,77.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,20,5,0.5957001097227981,0.005079811660905755,0.5862702328053482,0.03256806606864804,0.6683006535947712,0.04561136293429515,0.6277569370459322,0.035808561849753937,70.0,0.0
