stage,stage_label,scenario_id,scenario_label,attack_ratio,num_runs,Q_phy_mean,Q_phy_std,Q_comm_mean,Q_comm_std,Q_mis_mean,Q_mis_std,Q_overall_mean,Q_overall_std,alive_nodes_mean,alive_nodes_std,phy_edges_mean,phy_edges_std,comm_edges_mean,comm_edges_std,mis_edges_mean,mis_edges_std,valid_paths_mean,valid_paths_std,attacked_count_mean,attacked_count_std,jammed_count_mean,jammed_count_std,affected_sensor_count_mean,affected_sensor_count_std,affected_decider_count_mean,affected_decider_count_std,affected_influencer_count_mean,affected_influencer_count_std
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.0,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,9.930136612989092e-17,100.0,0.0,507.8,18.946239732464065,141.8,6.046486583132389,681.6,22.473095024940378,1006.6,5.083306010855534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.1,5,0.8600492921946961,0.01172595665944047,0.825521643782228,0.015963420345819393,0.9332138718113165,0.06439709588681337,0.8729282692627468,0.019677992195428953,90.0,0.0,411.6,14.051334456200237,105.2,10.02796090937734,515.2,17.428711943227473,933.0,65.09685092229884,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.2,5,0.7257428426900621,0.011012763247386525,0.628088753604682,0.014774299500860504,0.5077091182941849,0.10207616370524242,0.6205135715296429,0.040472989667646536,80.0,0.0,326.0,10.99090533122727,68.4,8.404760555780278,368.4,14.56845908117945,503.0,103.13874150870758,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.3,5,0.5992246814238548,0.011511186746261517,0.3914255400014254,0.01105461330497698,0.0,0.0,0.3302167404750933,0.005830921861860413,70.0,0.0,248.6,16.156732342896568,33.4,7.4993333037010705,242.4,18.30409790183608,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.4,5,0.45614887577868163,0.011883241481769611,0.2942134632620521,0.007822482937634863,0.0,0.0,0.25012077968024454,0.006010474448882593,60.0,0.0,167.4,8.333066662399863,20.6,6.829348431585549,153.2,9.516301802696255,0.0,0.0,40.0,0.0,0.0,0.0,8.6,0.4898979485566356,30.0,0.0,1.4,0.4898979485566356
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.5,5,0.3318656770555051,0.008018132170283045,0.22214430144593478,0.009806172186964088,0.0,0.0,0.1846699928338133,0.0027853834725665282,50.0,0.0,115.4,6.019966777316964,13.4,3.0724582991474434,104.0,15.336231610144651,0.0,0.0,50.0,0.0,0.0,0.0,15.8,0.7483314773547882,30.0,0.0,4.2,0.7483314773547882
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.6,5,0.2265601047667689,0.014083411239438992,0.15817297298501326,0.005847683159269104,0.0,0.0,0.12824435925059405,0.005179629850536316,40.0,0.0,69.0,5.761944116355173,9.4,1.8547236990991407,60.0,11.454256850621082,0.0,0.0,60.0,0.0,0.0,0.0,23.4,2.0591260281974,30.0,0.0,6.6,2.0591260281974
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.7,5,0.15604668813257366,0.019468662504298167,0.10378804205462303,0.011312245318431965,0.0,0.0,0.08661157672906554,0.010135829514547988,30.0,0.0,40.8,7.6000000000000005,5.4,3.2619012860600183,34.0,7.26636084983398,0.0,0.0,70.0,0.0,0.0,0.0,30.6,1.4966629547095767,30.0,0.0,9.4,1.4966629547095764
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.8,5,0.07339839937663445,0.04025657151779927,0.061118846375045624,0.015042296914237016,0.0,0.0,0.044839081917226686,0.017821843988867186,20.0,0.0,18.4,7.364781055808788,3.4,2.65329983228432,20.0,8.294576541331088,0.0,0.0,80.0,0.0,0.0,0.0,36.4,1.0198039027185568,30.0,0.0,13.6,1.0198039027185568
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.9,5,0.013330867533431897,0.010483352204710224,0.015945655315171038,0.006299574840152893,0.0,0.0,0.009758840949534312,0.0051716665268501895,10.0,0.0,3.8,1.7204650534085253,0.2,0.4,4.4,2.33238075793812,0.0,0.0,90.0,0.0,0.0,0.0,42.8,0.9797958971132711,30.0,0.0,17.2,0.9797958971132713
