stage,stage_label,scenario_id,scenario_label,attack_ratio,seed,Q_phy,Q_comm,Q_mis,Q_overall,alive_nodes,phy_edges,comm_edges,mis_edges,valid_paths,attacked_count,jammed_count,affected_sensor_count,affected_decider_count,affected_influencer_count
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.1,11,0.8294065363194673,0.8851909734275302,0.830188679245283,0.8482620629974267,90,370,118,507,775,10,0,6,2,2
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.1,17,0.828016805642998,0.8547544963720323,1.0,0.8942571006716766,90,374,116,485,1003,10,0,9,1,0
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.1,23,0.821014732861842,0.8780131407639035,0.9444444444444444,0.88115743935673,90,395,124,509,1012,10,0,6,3,1
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.1,29,0.8187068992789666,0.8549664960877734,1.0,0.8912244651222465,90,362,99,464,597,10,0,8,2,0
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.1,35,0.8179985136076305,0.867078430925842,0.9661016949152542,0.8837262131495756,90,389,90,494,804,10,0,8,1,1
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.2,11,0.6771180086246492,0.7523517627179229,0.5094339622641509,0.6463012445355744,80,277,87,372,413,20,0,13,3,4
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.2,17,0.6915191952712968,0.7330619957014365,0.75,0.7248603969909111,80,305,87,407,761,20,0,11,6,3
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.2,23,0.6793810091475253,0.7583349505118465,0.6111111111111112,0.6829423569234943,80,297,107,413,600,20,0,11,5,4
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.2,29,0.6697610463214848,0.7247900482874092,0.9166666666666666,0.7704059204251869,80,271,74,314,322,20,0,11,8,1
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.2,35,0.6706233260407665,0.7320414589756268,0.8644067796610169,0.7556905215591367,80,290,74,374,454,20,0,12,5,3
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.3,11,0.5377138923382265,0.5973152951491779,0.490566037735849,0.5418650750744178,70,204,65,256,226,30,0,21,5,4
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.3,17,0.5811932103126691,0.59316674622919,0.6875,0.620619985513953,70,241,67,312,531,30,0,18,8,4
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.3,23,0.5434154795944623,0.6395049239255697,0.6111111111111112,0.5980105048770477,70,223,73,305,365,30,0,18,7,5
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.3,29,0.5504826036354507,0.5774291708416464,0.8541666666666666,0.6606928137145879,70,210,64,223,238,30,0,15,13,2
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.3,35,0.5597058510473342,0.6169955495908539,0.6610169491525424,0.6125727832635768,70,224,66,293,280,30,0,16,9,5
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.4,11,0.409522131711189,0.49094622364273405,0.33962264150943394,0.4133636656211189,60,145,43,178,143,40,0,25,10,5
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.4,17,0.4452576134412921,0.48047414281378176,0.4375,0.45441058541835794,60,153,43,201,184,40,0,20,14,6
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.4,23,0.43161186484250075,0.5214114916624975,0.6111111111111112,0.5213781558720365,60,159,43,215,178,40,0,23,10,7
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.4,29,0.4605793222695448,0.45724096299169764,0.75,0.5559400950870808,60,169,40,165,160,40,0,21,16,3
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.4,35,0.4426701423531782,0.49691958089204047,0.45762711864406774,0.4657389472964288,60,162,49,210,166,40,0,20,13,7
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.5,11,0.29119189786371524,0.354388202680208,0.22641509433962262,0.29066506496118194,50,97,20,106,43,50,0,28,16,6
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.5,17,0.3097784696365028,0.36588523447671367,0.375,0.35022123470440547,50,94,33,115,45,50,0,26,17,7
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.5,23,0.32928295986455364,0.365384980885448,0.5,0.3982226469166672,50,114,22,147,67,50,0,27,15,8
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.5,29,0.3299424119392441,0.345208430692369,0.5625,0.41255028087720436,50,115,30,108,85,50,0,27,19,4
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.5,35,0.3207961037364927,0.40606683904774044,0.4067796610169491,0.3778808679337274,50,110,30,151,94,50,0,21,18,11
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.6,11,0.21720978750602718,0.2265252864489451,0.11320754716981131,0.18564754037492787,40,75,16,72,34,60,0,35,17,8
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.6,17,0.21607299081931763,0.27402537001171523,0.3125,0.2675327869436776,40,59,21,74,34,60,0,33,19,8
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.6,23,0.23892210226985947,0.25286465231328936,0.3333333333333333,0.27504002930549404,40,75,25,95,33,60,0,32,19,9
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.6,29,0.2590519208014642,0.2859735790691564,0.375,0.3066751666235402,40,75,26,86,45,60,0,30,20,10
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.6,35,0.24126122183562068,0.3083723703334143,0.4067796610169491,0.3188044177286613,40,75,20,92,46,60,0,29,19,12
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.7,11,0.15421659999745513,0.18531625045613836,0.056603773584905655,0.13204554134616636,30,45,11,59,14,70,0,36,20,14
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.7,17,0.1282717228171947,0.19064130346788852,0.0625,0.12713767542836107,30,30,11,41,1,70,0,36,22,12
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.7,23,0.1552367260581594,0.17463443938929155,0.1111111111111111,0.14699409218618736,30,44,19,61,17,70,0,36,21,13
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.7,29,0.1867633893044937,0.14472725471725126,0.1875,0.17299688134058167,30,48,7,45,10,70,0,36,24,10
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.7,35,0.14163346383077186,0.2051679408884005,0.15254237288135591,0.16644792586684276,30,37,16,55,11,70,0,34,21,15
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.8,11,0.06305175470011463,0.09206618782795092,0.0,0.051705980842688515,20,14,5,18,0,80,0,40,25,15
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.8,17,0.08350983287382154,0.11538131546475222,0.0625,0.08713038277952458,20,20,7,27,1,80,0,43,23,14
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.8,23,0.07780132129135561,0.09993246813809165,0.05555555555555555,0.07776311499500094,20,22,7,38,8,80,0,41,23,16
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.8,29,0.09822482779315372,0.10965810403511839,0.0,0.06929431060942404,20,18,8,25,0,80,0,40,24,16
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.8,35,0.06311486321123903,0.12195774618499311,0.13559322033898302,0.10688860991173837,20,16,7,22,4,80,0,42,22,16
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.9,11,0.00806620052410982,0.043911758728146365,0.0,0.01732598641741873,10,3,2,6,0,90,0,45,26,19
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.9,17,0.01082608273390253,0.025826831159432934,0.0,0.012217637964445154,10,4,2,4,0,90,0,47,27,16
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.9,23,0.034324440596022014,0.05087011970063809,0.0,0.028398186765553366,10,7,2,14,0,90,0,45,25,20
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.9,29,0.008064275336602658,0.02958754433074595,0.0,0.012550606555782868,10,3,2,3,0,90,0,46,26,18
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.9,35,0.02707677806950727,0.039185922439907483,0.0,0.022087566836471582,10,5,2,8,0,90,0,47,25,18
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,1.0,11,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,50,30,20
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,1.0,17,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,50,30,20
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,1.0,23,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,50,30,20
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,1.0,29,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,50,30,20
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,1.0,35,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,50,30,20
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.0,11,1.0,1.0,1.0,1.0,100,491,150,650,1003,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.0,17,1.0,0.9999999999999999,1.0,0.9999999999999998,100,496,165,673,1003,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.0,23,1.0,1.0,1.0,1.0,100,536,162,719,1015,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.0,29,1.0,1.0,1.0,1.0,100,491,140,688,1002,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.0,35,1.0,1.0,1.0,1.0,100,525,138,678,1010,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.1,11,0.8340453145420765,0.8229651435068447,0.7169811320754716,0.7913305300414641,90,373,111,457,401,10,0,0,10,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.1,17,0.8240235466120741,0.7994628877871103,0.75,0.7911621447997281,90,374,87,462,626,10,0,0,10,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.1,23,0.8244701955938696,0.8175691352897534,0.8333333333333334,0.8251242214056521,90,401,108,487,738,10,0,0,10,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.1,29,0.8214940764171468,0.8473248683051003,1.0,0.8896063149074156,90,368,81,455,690,10,0,0,10,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.1,35,0.8286867368876983,0.8050884412767287,0.711864406779661,0.7818798616480294,90,396,91,465,645,10,0,0,10,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.2,11,0.6990951810773766,0.579673462488974,0.4339622641509434,0.5709103025724312,80,294,65,319,89,20,0,0,20,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.2,17,0.6941709094833817,0.5925508585891441,0.4375,0.5747405893575086,80,285,54,313,137,20,0,0,20,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.2,23,0.6979042201548217,0.5811026506833898,0.3888888888888889,0.5559652532423668,80,318,57,344,84,20,0,0,20,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.2,29,0.688297076422497,0.6070222870917217,0.8125,0.7026064545047395,80,284,55,309,222,20,0,0,20,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.2,35,0.6901265005450896,0.6009971063026593,0.3559322033898305,0.5490186034125265,80,301,57,307,103,20,0,0,20,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.3,11,0.6142302383890962,0.39191557912403235,0.0,0.3353819391710428,70,251,35,252,0,30,0,0,30,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.3,17,0.5952389324799264,0.38776260760171255,0.0,0.32766718002721296,70,236,39,232,0,30,0,0,30,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.3,23,0.6092967898697074,0.4064948322581107,0.0,0.33859720737593935,70,276,47,274,0,30,0,0,30,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.3,29,0.5816929401854314,0.39771497592555954,0.0,0.32646930537033025,70,229,28,228,0,30,0,0,30,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.3,35,0.5956645061951121,0.37323970509771165,0.0,0.3229680704309412,70,251,34,226,0,30,0,0,30,0
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.4,11,0.47092594518012343,0.29415923440341185,0.0,0.25502839319451176,60,165,19,160,0,40,0,8,30,2
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.4,17,0.4344596127475286,0.2814656908558212,0.0,0.23864176786778324,60,155,19,138,0,40,0,9,30,1
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.4,23,0.4581519232503224,0.30532734548816015,0.0,0.2544930895794941,60,181,28,162,0,40,0,9,30,1
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.4,29,0.45938100029215245,0.2980992577614618,0.0,0.25249341935120473,60,167,20,146,0,40,0,9,30,1
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.4,35,0.4578258974232811,0.2920157878014056,0.0,0.24994722840822886,60,169,23,160,0,40,0,8,30,2
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),0.5,11,0.32213113418175526,0.22731897044126487,0.0,0.18315003487434003,50,110,13,100,0,50,0,16,30,4
