scenario_id,scenario_label,mode_label,targeting_label,strategy_id,strategy_label,layer_id,layer_label,final_mean,final_std,static_baseline_mean,absolute_gain_vs_static,relative_gain_vs_static_pct,rank_within_scenario_layer,is_best_strategy
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,no_reconfiguration,Static Baseline,Q_comm,Communication-Layer Performance,0.685598187544793,0.03767341191922265,0.685598187544793,0.0,0.0,5,0
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_mis,Mission-Layer Performance,0.8604575163398692,0.06491351120488958,0.6805228758169936,0.17993464052287567,26.440645409143272,1,1
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_mis,Mission-Layer Performance,0.8033986928104575,0.12062420421104599,0.6805228758169936,0.12287581699346395,18.056089127929294,2,0
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,degree_driven,Maximum-Degree Reconfiguration,Q_mis,Mission-Layer Performance,0.6805228758169936,0.11432446875304784,0.6805228758169936,0.0,0.0,3,0
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_mis,Mission-Layer Performance,0.6805228758169936,0.11432446875304784,0.6805228758169936,0.0,0.0,4,0
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,no_reconfiguration,Static Baseline,Q_mis,Mission-Layer Performance,0.6805228758169936,0.11432446875304784,0.6805228758169936,0.0,0.0,5,0
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,degree_driven,Maximum-Degree Reconfiguration,Q_phy,Physical-Layer Performance,1.0,0.0,1.0,0.0,0.0,1,1
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_phy,Physical-Layer Performance,1.0,0.0,1.0,0.0,0.0,2,1
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_phy,Physical-Layer Performance,1.0,0.0,1.0,0.0,0.0,3,1
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,no_reconfiguration,Static Baseline,Q_phy,Physical-Layer Performance,1.0,0.0,1.0,0.0,0.0,4,1
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_phy,Physical-Layer Performance,1.0,0.0,1.0,0.0,0.0,5,1
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_comm,Communication-Layer Performance,0.8615275512287731,0.016381950358083392,0.6101715581877626,0.25135599304101053,41.194314888676445,1,1
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,degree_driven,Maximum-Degree Reconfiguration,Q_comm,Communication-Layer Performance,0.7913921411192462,0.028368834955685065,0.6101715581877626,0.18122058293148358,29.699939385853543,2,0
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_comm,Communication-Layer Performance,0.7101771875272563,0.018757371909942575,0.6101715581877626,0.10000562933949375,16.389755962489474,3,0
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_comm,Communication-Layer Performance,0.6723650315681153,0.037727923240497,0.6101715581877626,0.06219347338035275,10.192784725179623,4,0
